Candidate,CV_Rank,Model,Feature_Set,Feature_Set_Description,Complexity_Rank,Raw_Feature_Count,CV_R2_Mean,CV_R2_SD,CV_Train_R2_Mean,CV_Gap_Mean,CV_Gap_SD,CV_MAE_Mean,CV_RMSE_Mean,Train_R2,Train_MAE,Train_RMSE,Test_R2,Test_MAE,Test_RMSE,Train_Test_R2_Gap,Best_Params,Selected_Regularized,Section,Split_Seed,Train_n,Test_n
GradientBoosting_regularized__no_label_ni_mf5_no_num_indicators,1.0,GradientBoosting_regularized,no_label_ni_mf5_no_num_indicators,Catalyst_Label_Ni_Value removed; one-hot min_frequency=5; numeric missing indicators removed.,5.0,30.0,0.759518152532816,0.0556846114933215,0.8950935128144849,0.1355753602816689,0.0595944695294507,11.30567321212296,17.359669879864192,0.897418867773283,7.546077964434901,11.513403558990374,0.7167510818750411,13.943577584656705,20.257308169382803,0.1806677858982418,"{""learning_rate"": 0.06, ""max_depth"": 3, ""max_features"": 0.7, ""min_samples_leaf"": 15, ""min_samples_split"": 30, ""n_estimators"": 500, ""subsample"": 0.75}",True,Model comparison,,,
GradientBoosting_regularized__compact_physical_mf5_no_num_indicators,2.0,GradientBoosting_regularized,compact_physical_mf5_no_num_indicators,Compact physical descriptor set; low-information prep fields and numeric missing indicators removed.,5.0,23.0,0.7565639056651714,0.055284638678529,0.8929833732266383,0.136419467561467,0.0577343722123033,11.462513853950892,17.45585013702,0.8948864546614836,7.649637181980958,11.654652410900589,0.7155020142565691,13.971160521854186,20.301924251658765,0.1793844404049145,"{""learning_rate"": 0.06, ""max_depth"": 3, ""max_features"": 0.7, ""min_samples_leaf"": 15, ""min_samples_split"": 30, ""n_estimators"": 500, ""subsample"": 0.75}",False,Model comparison,,,
GradientBoosting_regularized__full_mf5_with_indicators,3.0,GradientBoosting_regularized,full_mf5_with_indicators,"Full raw descriptor set, one-hot min_frequency=5, numeric missing indicators retained.",5.0,31.0,0.7554681061408899,0.0599767442699032,0.8970059330371966,0.1415378268963067,0.0620400203723052,11.299174835846166,17.4859057228488,0.898031572943705,7.530956260022171,11.47896795190793,0.7173207773611106,13.896220267506298,20.236926263314835,0.1807107955825944,"{""learning_rate"": 0.06, ""max_depth"": 3, ""max_features"": 0.7, ""min_samples_leaf"": 15, ""min_samples_split"": 30, ""n_estimators"": 500, ""subsample"": 0.75}",False,Model comparison,,,
GradientBoosting_regularized__no_label_ni_mf5_with_indicators,4.0,GradientBoosting_regularized,no_label_ni_mf5_with_indicators,Catalyst_Label_Ni_Value removed; one-hot min_frequency=5; numeric missing indicators retained.,5.0,30.0,0.7533986918194249,0.0556622622390929,0.8950088689936043,0.1416101771741795,0.058484939898642,11.400334962904276,17.58735605166051,0.8987335696980562,7.444299914838951,11.439386507457584,0.7178341312441456,13.75105214682244,20.21854248289804,0.1808994384539105,"{""learning_rate"": 0.06, ""max_depth"": 3, ""max_features"": 0.7, ""min_samples_leaf"": 15, ""min_samples_split"": 30, ""n_estimators"": 500, ""subsample"": 0.75}",False,Model comparison,,,
GradientBoosting_gap_targeted__no_label_ni_mf5_with_indicators,5.0,GradientBoosting_gap_targeted,no_label_ni_mf5_with_indicators,Catalyst_Label_Ni_Value removed; one-hot min_frequency=5; numeric missing indicators retained.,5.0,30.0,0.7017432893599135,0.0316482906785176,0.8075175184720773,0.1057742291121639,0.0364122488439124,12.890118245335458,19.41334470855457,0.8211367516048865,10.133067540921331,15.20304357563702,0.683139952347571,15.409432509412898,21.42551879519832,0.1379967992573155,"{""learning_rate"": 0.05, ""max_depth"": 3, ""max_features"": 0.45, ""min_samples_leaf"": 25, ""min_samples_split"": 60, ""n_estimators"": 380, ""subsample"": 0.65}",False,Model comparison,,,
GradientBoosting_gap_targeted__no_label_ni_mf5_no_num_indicators,6.0,GradientBoosting_gap_targeted,no_label_ni_mf5_no_num_indicators,Catalyst_Label_Ni_Value removed; one-hot min_frequency=5; numeric missing indicators removed.,5.0,30.0,0.7016261513326135,0.0372061187613571,0.8081020732903739,0.1064759219577601,0.0414656415333202,12.997907058641918,19.410894483948837,0.8187443047645663,10.175681681515568,15.304382594310788,0.6835499604924473,15.477564888815849,21.41165229342749,0.1351943442721189,"{""learning_rate"": 0.05, ""max_depth"": 3, ""max_features"": 0.45, ""min_samples_leaf"": 25, ""min_samples_split"": 60, ""n_estimators"": 380, ""subsample"": 0.65}",False,Model comparison,,,
GradientBoosting_gap_targeted__full_mf5_with_indicators,7.0,GradientBoosting_gap_targeted,full_mf5_with_indicators,"Full raw descriptor set, one-hot min_frequency=5, numeric missing indicators retained.",5.0,31.0,0.6972982419043924,0.0341605444761901,0.8017128392066617,0.1044145973022693,0.0376496238397299,13.039262085161909,19.565016901687727,0.8092193726658443,10.512305310745894,15.70135452050946,0.6631865987996932,15.947877798375083,22.089825572540114,0.1460327738661511,"{""learning_rate"": 0.04, ""max_depth"": 3, ""max_features"": 0.65, ""min_samples_leaf"": 25, ""min_samples_split"": 60, ""n_estimators"": 380, ""subsample"": 0.65}",False,Model comparison,,,
GradientBoosting_gap_targeted__compact_physical_mf5_no_num_indicators,8.0,GradientBoosting_gap_targeted,compact_physical_mf5_no_num_indicators,Compact physical descriptor set; low-information prep fields and numeric missing indicators removed.,5.0,23.0,0.6948726508818679,0.0410867483211754,0.8018477174715258,0.1069750665896577,0.0469723341084783,13.310217154443317,19.61746429516079,0.8135840571230397,10.576951624242716,15.520707318523929,0.6814865925864341,15.659505986412238,21.48134470444332,0.1320974645366056,"{""learning_rate"": 0.05, ""max_depth"": 3, ""max_features"": 0.45, ""min_samples_leaf"": 25, ""min_samples_split"": 60, ""n_estimators"": 380, ""subsample"": 0.65}",False,Model comparison,,,
XGBoost_regularized__full_mf5_with_indicators,9.0,XGBoost_regularized,full_mf5_with_indicators,"Full raw descriptor set, one-hot min_frequency=5, numeric missing indicators retained.",6.0,31.0,0.6895677497997971,0.0291662430789823,0.7822550910757886,0.0926873412759916,0.0336947855422295,13.363348658645748,19.807198521628607,0.7965811294537483,10.923528841942485,16.213082876202996,0.6656037172836172,15.761799248292528,22.010419787470617,0.130977412170131,"{""colsample_bytree"": 0.65, ""gamma"": 2.0, ""learning_rate"": 0.06, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 700, ""reg_alpha"": 0.5, ""reg_lambda"": 150.0, ""subsample"": 0.75}",False,Model comparison,,,
XGBoost_regularized__no_label_ni_mf5_no_num_indicators,10.0,XGBoost_regularized,no_label_ni_mf5_no_num_indicators,Catalyst_Label_Ni_Value removed; one-hot min_frequency=5; numeric missing indicators removed.,6.0,30.0,0.689200228720442,0.0281637765810294,0.7801324949846411,0.0909322662641992,0.0306696106092946,13.447671283338549,19.823156424096915,0.7966090929638281,10.956802219373232,16.211968450861402,0.6654641456690733,15.901333347384272,22.01501270536212,0.1311449472947548,"{""colsample_bytree"": 0.65, ""gamma"": 2.0, ""learning_rate"": 0.06, ""max_depth"": 3, ""min_child_weight"": 30, ""n_estimators"": 700, ""reg_alpha"": 0.5, ""reg_lambda"": 150.0, ""subsample"": 0.75}",False,Model comparison,,,
